2.8264  MSE 26360.6113, SSIM 0.0101
40 5.0844  MSE 25354.8291, SSIM -0.0030
50 2.1079  MSE 24550.6797, SSIM 0.0392
60 0.7012  MSE 25648.1025, SSIM 0.0039
70 0.2384  MSE 25998.2803, SSIM 0.0055
80 0.0963  MSE 24477.2871, SSIM 0.0144
90 0.0452  MSE 22643.1445, SSIM 0.0428
100 0.0249  MSE 21547.9355, SSIM 0.0557
110 0.0148  MSE 20768.0410, SSIM 0.0949
120 0.0090  MSE 18169.7959, SSIM 0.1367
130 0.0055  MSE 15535.8652, SSIM 0.2054
140 0.0035  MSE 13380.3740, SSIM 0.2442
150 0.0022  MSE 11042.9961, SSIM 0.3215
160 0.0015  MSE 9552.7510, SSIM 0.3830
170 0.0010  MSE 8488.0283, SSIM 0.4553
180 0.0007  MSE 7151.6484, SSIM 0.5234
190 0.0005  MSE 5806.3174, SSIM 0.6046
0 486.5999  MSE 25197.1924, SSIM 0.0096
10 275.5851  MSE 26077.9531, SSIM -0.0002
20 273.7375  MSE 25082.7324, SSIM 0.0303
30 273.4760  MSE 25197.1885, SSIM 0.0164
40 273.4421  MSE 25428.5498, SSIM 0.0235
50 273.4380  MSE 25967.6768, SSIM 0.0025
60 298.0753  MSE 81815.5703, SSIM 0.0031
70 298.0753  MSE 81815.5703, SSIM 0.0031
80 298.0753  MSE 81815.5703, SSIM 0.0031
90 298.0753  MSE 81815.5703, SSIM 0.0031
100 298.0753  MSE 81815.5703, SSIM 0.0031
110 298.0753  MSE 81815.5703, SSIM 0.0031
120 298.0753  MSE 81815.5703, SSIM 0.0031
130 298.0753  MSE 81815.5703, SSIM 0.0031
140 298.0753  MSE 81815.5703, SSIM 0.0031
150 298.0753  MSE 81815.5703, SSIM 0.0031
160 298.0753  MSE 81815.5703, SSIM 0.0031
170 298.0753  MSE 81815.5703, SSIM 0.0031
180 298.0753  MSE 81815.5703, SSIM 0.0031
190 298.0753  MSE 81815.5703, SSIM 0.0031
0 17.5456  MSE 25367.2461, SSIM -0.0147
10 2.9450  MSE 24771.9336, SSIM 0.0228
20 1.4078  MSE 25676.7881, SSIM 0.0071
30 0.8109  MSE 25537.6221, SSIM 0.0056
40 0.4002  MSE 24998.7988, SSIM 0.0037
50 0.2005  MSE 25249.5889, SSIM 0.0136
60 0.0953  MSE 25023.0205, SSIM 0.0127
70 0.0520  MSE 22517.7793, SSIM 0.0342
80 0.0285  MSE 21151.8906, SSIM 0.0397
90 0.0155  MSE 19160.3730, SSIM 0.0565
100 0.0081  MSE 16724.0615, SSIM 0.0871
110 0.0042  MSE 14080.8105, SSIM 0.1378
120 0.0024  MSE 12572.2041, SSIM 0.1775
130 0.0014  MSE 10510.9814, SSIM 0.2455
140 0.0009  MSE 8579.6338, SSIM 0.3391
150 0.0006  MSE 6714.4189, SSIM 0.4395
160 0.0004  MSE 5315.0312, SSIM 0.5080
170 0.0003  MSE 4740.0225, SSIM 0.5558
180 0.0002  MSE 3953.4033, SSIM 0.6265
190 0.0001  MSE 3223.2422, SSIM 0.6748
0 494.1866  MSE 25482.1826, SSIM 0.0065
10 529.3445  MSE 24559.4795, SSIM -0.0051
20 529.3445  MSE 24559.4795, SSIM -0.0051
30 529.3445  MSE 24559.4795, SSIM -0.0051
40 529.3445  MSE 24559.4795, SSIM -0.0051
50 529.3445  MSE 24559.4795, SSIM -0.0051
60 529.3445  MSE 24559.4795, SSIM -0.0051
70 529.3445  MSE 24559.4795, SSIM -0.0051
80 529.3445  MSE 24559.4795, SSIM -0.0051
90 529.3445  MSE 24559.4795, SSIM -0.0051
100 529.3445  MSE 24559.4795, SSIM -0.0051
110 529.3445  MSE 24559.4795, SSIM -0.0051
120 529.3445  MSE 24559.4795, SSIM -0.0051
130 529.3445  MSE 24559.4795, SSIM -0.0051
140 529.3445  MSE 24559.4795, SSIM -0.0051
150 529.3445  MSE 24559.4795, SSIM -0.0051
160 529.3445  MSE 24559.4795, SSIM -0.0051
170 529.3445  MSE 24559.4795, SSIM -0.0051
180 529.3445  MSE 24559.4795, SSIM -0.0051
190 529.3445  MSE 24559.4795, SSIM -0.0051
0 941.8326  MSE 30997.0449, SSIM -0.0049
10 1099.4810  MSE 29676.6562, SSIM 0.0029
20 3337.2542  MSE 29630.5635, SSIM 0.0123
30 3337.2542  MSE 29630.5635, SSIM 0.0123
40 3337.2542  MSE 29630.5635, SSIM 0.0123
50 3337.2542  MSE 29630.5635, SSIM 0.0123
60 3337.2542  MSE 29630.5635, SSIM 0.0123
70 3337.2542  MSE 29630.5635, SSIM 0.0123
80 3337.2542  MSE 29630.5635, SSIM 0.0123
90 3337.2542  MSE 29630.5635, SSIM 0.0123
100 3337.2542  MSE 29630.5635, SSIM 0.0123
110 3337.2542  MSE 29630.5635, SSIM 0.0123
120 3337.2542  MSE 29630.5635, SSIM 0.0123
130 3337.2542  MSE 29630.5635, SSIM 0.0123
140 3337.2542  MSE 29630.5635, SSIM 0.0123
150 3337.2542  MSE 29630.5635, SSIM 0.0123
160 3337.2542  MSE 29630.5635, SSIM 0.0123
170 3337.2542  MSE 29630.5635, SSIM 0.0123
180 3337.2542  MSE 29630.5635, SSIM 0.0123
190 3337.2542  MSE 29630.5635, SSIM 0.0123
0 652.6393  MSE 31141.8066, SSIM 0.0087
10 187.8931  MSE 29863.8223, SSIM 0.0127
20 163.8641  MSE 30913.3828, SSIM 0.0029
30 155.7051  MSE 29800.2256, SSIM 0.0176
40 152.1758  MSE 29886.9951, SSIM 0.0166
50 150.3940  MSE 30998.6016, SSIM 0.0028
60 149.0929  MSE 30039.4150, SSIM 0.0053
70 148.0864  MSE 30592.3984, SSIM -0.0024
80 147.3660  MSE 30253.7207, SSIM -0.0100
90 146.8824  MSE 31181.2979, SSIM -0.0142
100 146.3872  MSE 31797.0850, SSIM -0.0218
110 146.0288  MSE 29664.0322, SSIM 0.0138
120 145.7539  MSE 29868.7754, SSIM 0.0321
130 145.5468  MSE 29761.2051, SSIM 0.0242
140 145.3540  MSE 30139.3115, SSIM 0.0132
150 145.1325  MSE 30135.3096, SSIM 0.0048
160 144.9239  MSE 30724.0049, SSIM -0.0055
170 144.6843  MSE 31762.1318, SSIM -0.0218
180 144.5002  MSE 30639.8086, SSIM 0.0011
190 144.3327  MSE 31023.2129, SSIM 0.0049
0 397.8335  MSE 21071.1582, SSIM 0.0200
10 67.5906  MSE 21729.5088, SSIM -0.0002
20 29.6709  MSE 21561.1924, SSIM 0.0020
30 14.0245  MSE 21829.7725, SSIM 0.0019
40 6.9427  MSE 21528.1406, SSIM 0.0162
50 3.8571  MSE 21907.2148, SSIM 0.0013
60 2.3040  MSE 21781.2939, SSIM 0.0219
70 1.3819  MSE 20953.0020, SSIM 0.0252
80 0.7638  MSE 20697.2598, SSIM 0.0289
90 0.3791  MSE 20158.2871, SSIM 0.0344
100 0.1972  MSE 19749.9385, SSIM 0.0256
110 0.0968  MSE 17705.0098, SSIM 0.0547
120 0.0524  MSE 14913.4766, SSIM 0.1245
130 0.0289  MSE 12245.9600, SSIM 0.1878
140 0.0174  MSE 9964.4697, SSIM 0.2580
150 0.0097  MSE 7956.1709, SSIM 0.3328
160 0.0055  MSE 5996.4502, SSIM 0.4356
170 0.0033  MSE 4921.6670, SSIM 0.5240
180 0.0020  MSE 3865.3369, SSIM 0.6165
190 0.0012  MSE 2763.4268, SSIM 0.7020
0 777.7553  MSE 21832.7109, SSIM 0.0115
10 2360.1670  MSE 22354.4170, SSIM -0.0027
20 2360.1670  MSE 22354.4170, SSIM -0.0027
30 2360.1670  MSE 22354.3232, SSIM -0.0027
40 2360.1670  MSE 22354.8506, SSIM -0.0027
50 2360.1670  MSE 22354.6328, SSIM -0.0027
60 2360.1670  MSE 22354.6211, SSIM -0.0027
70 2360.1670  MSE 22354.6211, SSIM -0.0027
80 2360.1670  MSE 22354.5186, SSIM -0.0027
90 2360.1670  MSE 22354.4258, SSIM -0.0027
100 2360.1670  MSE 22354.4258, SSIM -0.0027
110 2360.1670  MSE 22354.5068, SSIM -0.0027
120 2360.1670  MSE 22354.5068, SSIM -0.0027
130 2360.1670  MSE 22354.5068, SSIM -0.0027
140 2360.1670  MSE 22354.5068, SSIM -0.0027
150 2360.1670  MSE 22354.5068, SSIM -0.0027
160 2360.1670  MSE 22354.5068, SSIM -0.0027
170 2360.1670  MSE 22355.0381, SSIM -0.0027
180 2360.1670  MSE 22355.0381, SSIM -0.0027
190 2360.1670  MSE 22355.0381, SSIM -0.0027
0 53.7228  MSE 27234.2275, SSIM 0.0026
10 7.3569  MSE 26854.4541, SSIM 0.0035
20 3.5422  MSE 27632.2773, SSIM 0.0039
30 2.1409  MSE 27888.1943, SSIM 0.0019
40 1.4315  MSE 27550.2178, SSIM 0.0090
50 1.1105  MSE 26839.6143, SSIM 0.0125
60 0.9595  MSE 26871.1719, SSIM 0.0369
70 0.9050  MSE 25685.3242, SSIM 0.0353
80 0.8790  MSE 25354.5264, SSIM 0.0361
90 0.8659  MSE 24702.5254, SSIM 0.0523
100 0.8575  MSE 25665.1055, SSIM 0.0379
110 0.8522  MSE 25960.0166, SSIM 0.0457
120 0.8488  MSE 26469.8408, SSIM 0.0270
130 0.8463  MSE 25990.3584, SSIM 0.0270
140 0.8448  MSE 26202.1582, SSIM 0.0225
150 0.8434  MSE 26888.8730, SSIM 0.0144
160 0.8423  MSE 26618.0596, SSIM 0.0274
170 0.8414  MSE 26492.6826, SSIM 0.0323
180 0.8408  MSE 26604.3916, SSIM 0.0277
190 0.8402  MSE 26207.1650, SSIM 0.0339
0 385.0501  MSE 27948.7744, SSIM 0.0048
10 155.1400  MSE 26790.3105, SSIM 0.0027
20 149.8892  MSE 27336.8447, SSIM 0.0216
30 148.3070  MSE 27110.5332, SSIM 0.0207
40 147.5257  MSE 27374.5703, SSIM 0.0077
50 146.9972  MSE 28168.4854, SSIM -0.0035
60 146.5232  MSE 27521.9854, SSIM 0.0134
70 146.1520  MSE 27268.9385, SSIM 0.0318
80 145.8721  MSE 26651.3174, SSIM 0.0054
90 145.6235  MSE 26797.9189, SSIM 0.0110
100 145.4111  MSE 25719.8691, SSIM 0.0029
110 145.2419  MSE 27396.8057, SSIM 0.0169
120 145.0704  MSE 27902.2178, SSIM 0.0115
130 144.9273  MSE 27799.2793, SSIM -0.0026
140 144.7762  MSE 27545.9053, SSIM -0.0018
150 144.6716  MSE 28231.0381, SSIM -0.0107
160 144.5464  MSE 27514.6680, SSIM -0.0011
170 144.3878  MSE 27765.3340, SSIM 0.0028
180 144.2485  MSE 27448.1035, SSIM 0.0180
190 144.1362  MSE 26909.3975, SSIM 0.0090
0 240.0167  MSE 33778.1084, SSIM 0.0030
10 22.5780  MSE 34276.8750, SSIM 0.0055
20 5.0109  MSE 34025.4512, SSIM 0.0122
30 0.8919  MSE 33068.8643, SSIM 0.0125
40 0.1650  MSE 33682.6611, SSIM 0.0350
50 0.0555  MSE 31119.7949, SSIM 0.0846
60 0.0222  MSE 28611.3975, SSIM 0.1225
70 0.0098  MSE 25380.7354, SSIM 0.1403
80 0.0053  MSE 22123.0000, SSIM 0.1890
90 0.0030  MSE 19710.3906, SSIM 0.2213
100 0.0019  MSE 17329.6406, SSIM 0.2633
110 0.0012  MSE 15351.7148, SSIM 0.2940
120 0.0008  MSE 12988.4854, SSIM 0.3319
130 0.0005  MSE 10353.9912, SSIM 0.3805
140 0.0004  MSE 9161.1553, SSIM 0.4118
150 0.0003  MSE 7479.3945, SSIM 0.4581
160 0.0002  MSE 6217.9775, SSIM 0.4899
170 0.0001  MSE 4735.7266, SSIM 0.5342
180 0.0001  MSE 3714.7793, SSIM 0.5641
190 0.0001  MSE 3171.2236, SSIM 0.5947
0 808.9323  MSE 34098.9531, SSIM -0.0034
10 648.9853  MSE 33342.8203, SSIM 0.0048
20 635.8321  MSE 34909.9658, SSIM -0.0000
30 625.6287  MSE 35624.1006, SSIM 0.0157
40 613.6048  MSE 35245.2383, SSIM -0.0130
50 998.2143  MSE 45967.9551, SSIM -0.0069
60 998.2143  MSE 45967.9551, SSIM -0.0069
70 998.2143  MSE 45967.9551, SSIM -0.0069
80 998.2143  MSE 45967.9551, SSIM -0.0069
90 998.2143  MSE 45967.9551, SSIM -0.0069
100 998.2143  MSE 45967.9551, SSIM -0.0069
110 998.2143  MSE 45967.9551, SSIM -0.0069
120 998.2143  MSE 45967.9551, SSIM -0.0069
130 998.2143  MSE 45967.9551, SSIM -0.0069
140 998.2143  MSE 45967.9551, SSIM -0.0069
150 998.2143  MSE 45967.9551, SSIM -0.0069
160 998.2143  MSE 45967.9551, SSIM -0.0069
170 998.2143  MSE 45967.9551, SSIM -0.0069
180 998.2143  MSE 45967.9551, SSIM -0.0069
190 998.2143  MSE 45967.9551, SSIM -0.0069
0 68.2808  MSE 19041.7412, SSIM 0.0110
10 8.7030  MSE 19522.0244, SSIM 0.0031
20 2.9896  MSE 19248.9717, SSIM 0.0196
30 1.2537  MSE 19992.2744, SSIM 0.0051
40 0.4953  MSE 19527.0156, SSIM 0.0075
50 0.2007  MSE 18264.1924, SSIM 0.0249
60 0.0865  MSE 17287.1416, SSIM 0.0568
70 0.0419  MSE 15435.7236, SSIM 0.0921
80 0.0230  MSE 13065.2002, SSIM 0.1388
90 0.0133  MSE 10766.4531, SSIM 0.1861
100 0.0081  MSE 8837.1816, SSIM 0.2540
110 0.0047  MSE 6942.1680, SSIM 0.3302
120 0.0029  MSE 5237.1436, SSIM 0.3952
130 0.0019  MSE 4121.9121, SSIM 0.4468
140 0.0013  MSE 3226.6250, SSIM 0.4988
150 0.0009  MSE 2477.2461, SSIM 0.5456
160 0.0006  MSE 1967.0684, SSIM 0.5910
170 0.0005  MSE 1532.6260, SSIM 0.6329
180 0.0003  MSE 1116.7139, SSIM 0.6804
190 0.0002  MSE 862.3740, SSIM 0.7223
0 252.3310  MSE 19091.5469, SSIM 0.0150
10 155.6521  MSE 18913.1367, SSIM 0.0049
20 149.8521  MSE 19387.0146, SSIM 0.0151
30 147.1543  MSE 19302.0371, SSIM -0.0073
40 145.6907  MSE 19447.1748, SSIM 0.0073
50 144.7739  MSE 19220.0264, SSIM 0.0045
60 144.1749  MSE 19171.6738, SSIM 0.0211
70 143.7134  MSE 19464.1885, SSIM 0.0048
80 143.3126  MSE 18938.6338, SSIM 0.0206
90 143.0566  MSE 18866.9521, SSIM 0.0096
100 142.8346  MSE 19163.9209, SSIM 0.0039
110 142.6304  MSE 19181.2168, SSIM 0.0197
120 142.4598  MSE 18579.1416, SSIM 0.0169
130 142.3220  MSE 19161.5156, SSIM -0.0032
140 142.1828  MSE 18338.4688, SSIM 0.0099
150 142.0925  MSE 19437.5107, SSIM 0.0158
160 142.0011  MSE 18810.1484, SSIM 0.0072
170 141.8923  MSE 18993.9883, SSIM -0.0001
180 141.7895  MSE 18562.9932, SSIM 0.0123
190 141.6959  MSE 19496.0527, SSIM 0.0038
0 1.2381  MSE 27193.7871, SSIM -0.0048
10 0.5091  MSE 28395.2207, SSIM -0.0186
20 0.3609  MSE 28009.4160, SSIM -0.0080
30 0.2985  MSE 27799.9912, SSIM -0.0031
40 0.2564  MSE 27246.6367, SSIM -0.0001
50 65567.1016  MSE 27966.5664, SSIM 0.0070
60 505.1669  MSE 62681.1025, SSIM 0.0083
70 505.1669  MSE 62681.1025, SSIM 0.0083
80 505.1669  MSE 62681.1025, SSIM 0.0083
90 505.1669  MSE 62681.1025, SSIM 0.0083
100 505.1669  MSE 62681.1025, SSIM 0.0083
110 505.1669  MSE 62681.1025, SSIM 0.0083
120 505.1669  MSE 62681.1025, SSIM 0.0083
130 505.1669  MSE 62681.1025, SSIM 0.0083
140 505.1669  MSE 62681.1025, SSIM 0.0083
150 505.1669  MSE 62681.1025, SSIM 0.0083
160 505.1669  MSE 62681.1025, SSIM 0.0083
170 505.1669  MSE 62681.1025, SSIM 0.0083
180 505.1669  MSE 62681.1025, SSIM 0.0083
190 505.1669  MSE 62681.1025, SSIM 0.0083
0 167.4836  MSE 27987.8184, SSIM 0.0183
10 158.8596  MSE 27920.0283, SSIM 0.0051
20 155.4952  MSE 27958.2539, SSIM 0.0019
30 959.0605  MSE 65887.9326, SSIM 0.0013
40 959.0605  MSE 65887.9326, SSIM 0.0013
50 959.0605  MSE 65887.9326, SSIM 0.0013
60 959.0605  MSE 65887.9326, SSIM 0.0013
70 959.0605  MSE 65887.9326, SSIM 0.0013
80 959.0605  MSE 65887.9326, SSIM 0.0013
90 959.0605  MSE 65887.9326, SSIM 0.0013
100 959.0605  MSE 65887.9326, SSIM 0.0013
110 959.0605  MSE 65887.9326, SSIM 0.0013
120 959.0605  MSE 65887.9326, SSIM 0.0013
130 959.0605  MSE 65887.9326, SSIM 0.0013
140 959.0605  MSE 65887.9326, SSIM 0.0013
150 959.0605  MSE 65887.9326, SSIM 0.0013
160 959.0605  MSE 65887.9326, SSIM 0.0013
170 959.0605  MSE 65887.9326, SSIM 0.0013
180 959.0605  MSE 65887.9326, SSIM 0.0013
190 959.0605  MSE 65887.9326, SSIM 0.0013
0 235.0690  MSE 26019.0166, SSIM -0.0032
10 25.9664  MSE 26717.4443, SSIM -0.0045
20 9.3229  MSE 25922.6045, SSIM -0.0044
30 3.2400  MSE 26013.5742, SSIM 0.0145
40 1.1508  MSE 25941.1777, SSIM 0.0115
50 0.4056  MSE 23659.5332, SSIM 0.0557
60 0.1497  MSE 19385.2275, SSIM 0.1341
70 0.0549  MSE 16061.4209, SSIM 0.2214
80 0.0233  MSE 12073.5869, SSIM 0.3632
90 0.0111  MSE 9210.9111, SSIM 0.4814
100 0.0058  MSE 6835.8516, SSIM 0.5922
110 0.0033  MSE 5261.8652, SSIM 0.6643
120 0.0020  MSE 4003.8545, SSIM 0.7529
130 0.0011  MSE 2928.1895, SSIM 0.8026
140 0.0007  MSE 2221.4580, SSIM 0.8454
150 0.0004  MSE 1679.4961, SSIM 0.8835
160 0.0003  MSE 1125.2139, SSIM 0.9226
170 0.0002  MSE 642.7295, SSIM 0.9463
180 0.0002  MSE 397.2676, SSIM 0.9617
190 0.0001  MSE 295.5430, SSIM 0.9736
0 321.1209  MSE 25873.1797, SSIM 0.0266
10 161.5451  MSE 26101.0938, SSIM -0.0121
20 150.4660  MSE 25324.3662, SSIM -0.0001
30 145.9633  MSE 25459.4805, SSIM -0.0050
40 143.1663  MSE 25646.0498, SSIM -0.0061
50 141.5224  MSE 25786.4326, SSIM 0.0092
60 140.4109  MSE 25595.0000, SSIM 0.0000
70 139.5747  MSE 26417.6084, SSIM -0.0014
80 139.0983  MSE 25527.0742, SSIM 0.0183
90 138.7531  MSE 25789.0537, SSIM 0.0080
100 138.2950  MSE 26079.0918, SSIM 0.0019
110 137.9723  MSE 25259.6123, SSIM 0.0220
120 137.7318  MSE 26476.7021, SSIM -0.0373
130 137.4951  MSE 25534.0176, SSIM 0.0144
140 137.3249  MSE 25979.9365, SSIM 0.0184
150 137.1635  MSE 26014.5459, SSIM 0.0158
160 136.9943  MSE 25758.9678, SSIM 0.0273
170 136.8578  MSE 25529.6689, SSIM 0.0222
180 136.7520  MSE 25240.8945, SSIM 0.0270
190 136.6469  MSE 25854.6406, SSIM 0.0188
0 59.5168  MSE 31385.4258, SSIM 0.0043
10 7.0343  MSE 29555.2959, SSIM 0.0069
20 3.3815  MSE 30402.7549, SSIM 0.0019
30 2.1017  MSE 31045.4385, SSIM 0.0146
40 1.4531  MSE 30504.0059, SSIM 0.0002
50 1.1985  MSE 31637.3320, SSIM -0.0106
60 0.9998  MSE 30154.4033, SSIM 0.0250
70 0.9284  MSE 30499.9424, SSIM 0.0082
80 0.8576  MSE 30444.3379, SSIM 0.0005
90 0.8305  MSE 30663.2061, SSIM -0.0116
100 0.8134  MSE 31396.9492, SSIM 0.0131
110 0.8033  MSE 31248.2471, SSIM 0.0138
120 0.7969  MSE 30873.6768, SSIM 0.0203
130 0.7919  MSE 31279.2031, SSIM 0.0087
140 0.7878  MSE 30036.8955, SSIM 0.0166
150 0.7847  MSE 29970.2422, SSIM 0.0157
160 0.7825  MSE 30422.4785, SSIM 0.0035
170 0.7807  MSE 30342.0977, SSIM 0.0100
180 0.7791  MSE 31070.1650, SSIM -0.0039
190 0.7778  MSE 30961.8252, SSIM -0.0028
0 216.6317  MSE 30685.9570, SSIM 0.0106
10 225.0503  MSE 30463.6328, SSIM 0.0178
20 225.0503  MSE 30463.6328, SSIM 0.0178
30 225.0503  MSE 30463.6328, SSIM 0.0178
40 225.0503  MSE 30463.6328, SSIM 0.0178
50 225.0503  MSE 30463.6328, SSIM 0.0178
60 225.0503  MSE 30463.6328, SSIM 0.0178
70 225.0503  MSE 30463.6328, SSIM 0.0178
80 225.0503  MSE 30463.6328, SSIM 0.0178
90 225.0503  MSE 30463.6328, SSIM 0.0178
100 225.0503  MSE 30463.6328, SSIM 0.0178
110 225.0503  MSE 30463.6328, SSIM 0.0178
120 225.0503  MSE 30463.6328, SSIM 0.0178
130 225.0503  MSE 30463.6328, SSIM 0.0178
140 225.0503  MSE 30463.6328, SSIM 0.0178
150 225.0503  MSE 30463.6328, SSIM 0.0178
160 225.0503  MSE 30463.6328, SSIM 0.0178
170 225.0503  MSE 30463.6328, SSIM 0.0178
180 225.0503  MSE 30463.6328, SSIM 0.0178
190 225.0503  MSE 30463.6328, SSIM 0.0178
0 0.8990  MSE 31787.1689, SSIM -0.0034
10 0.0938  MSE 31879.6094, SSIM -0.0041
20 0.0724  MSE 31147.5771, SSIM 0.0079
30 872.0098  MSE 30064.9844, SSIM 0.0170
40 872.0098  MSE 30064.9844, SSIM 0.0170
50 872.0098  MSE 30064.9844, SSIM 0.0170
60 872.0098  MSE 30064.9844, SSIM 0.0170
70 872.0098  MSE 30064.9844, SSIM 0.0170
80 872.0098  MSE 30064.9844, SSIM 0.0170
90 872.0098  MSE 30064.9844, SSIM 0.0170
100 872.0098  MSE 30064.9844, SSIM 0.0170
110 872.0098  MSE 30064.9844, SSIM 0.0170
120 872.0098  MSE 30064.9844, SSIM 0.0170
130 872.0098  MSE 30064.9844, SSIM 0.0170
140 872.0098  MSE 30064.9844, SSIM 0.0170
150 872.0098  MSE 30064.9844, SSIM 0.0170
160 872.0098  MSE 30064.9844, SSIM 0.0170
170 872.0098  MSE 30064.9844, SSIM 0.0170
180 872.0098  MSE 30064.9844, SSIM 0.0170
190 872.0098  MSE 30064.9844, SSIM 0.0170
0 165.9563  MSE 29593.0498, SSIM 0.0249
10 157.7743  MSE 31905.7383, SSIM 0.0008
20 154.7569  MSE 31417.0801, SSIM 0.0116
30 677.0903  MSE 31179.2842, SSIM 0.0054
40 677.0903  MSE 31179.2842, SSIM 0.0054
50 677.0903  MSE 31179.2842, SSIM 0.0054
60 677.0903  MSE 31179.2842, SSIM 0.0054
70 677.0903  MSE 31179.2842, SSIM 0.0054
80 677.0903  MSE 31179.2842, SSIM 0.0054
90 677.0903  MSE 31179.2842, SSIM 0.0054
100 677.0903  MSE 31179.2842, SSIM 0.0054
110 677.0903  MSE 31179.2842, SSIM 0.0054
120 677.0903  MSE 31179.2842, SSIM 0.0054
130 677.0903  MSE 31179.2842, SSIM 0.0054
140 677.0903  MSE 31179.2842, SSIM 0.0054
150 677.0903  MSE 31179.2842, SSIM 0.0054
160 677.0903  MSE 31179.2842, SSIM 0.0054
170 677.0903  MSE 31179.2842, SSIM 0.0054
180 677.0903  MSE 31179.2842, SSIM 0.0054
190 677.0903  MSE 31179.2842, SSIM 0.0054
0 466.4281  MSE 21336.1191, SSIM 0.0085
10 15.0541  MSE 21783.1895, SSIM 0.0129
20 4.3440  MSE 22353.0107, SSIM 0.0093
30 1.5555  MSE 21929.9375, SSIM 0.0029
40 0.5888  MSE 21008.8398, SSIM 0.0124
50 0.2263  MSE 19437.0908, SSIM 0.0474
60 0.0817  MSE 16960.5117, SSIM 0.0647
70 0.0334  MSE 13424.9111, SSIM 0.1072
80 0.0166  MSE 9877.4863, SSIM 0.1955
90 0.0088  MSE 7133.1396, SSIM 0.2893
100 0.0049  MSE 4958.1963, SSIM 0.3921
110 0.0026  MSE 3374.8232, SSIM 0.4885
120 0.0016  MSE 2304.4102, SSIM 0.5705
130 0.0009  MSE 1796.4961, SSIM 0.6474
140 0.0006  MSE 1339.8506, SSIM 0.7125
150 0.0004  MSE 1134.7432, SSIM 0.7639
160 0.0003  MSE 742.8604, SSIM 0.8084
170 0.0002  MSE 536.2314, SSIM 0.8545
180 0.0001  MSE 339.7842, SSIM 0.8860
190 0.0001  MSE 223.6729, SSIM 0.9144
0 372.0029  MSE 22505.4844, SSIM 0.0085
10 184.6664  MSE 22303.1865, SSIM 0.0159
20 167.2754  MSE 21701.2188, SSIM 0.0205
30 159.9160  MSE 21774.2051, SSIM 0.0109
40 156.3021  MSE 21683.2773, SSIM 0.0180
50 154.6077  MSE 21952.7900, SSIM 0.0036
60 153.6012  MSE 21936.0771, SSIM 0.0028
70 152.9284  MSE 22245.5146, SSIM -0.0075
80 152.4893  MSE 21324.1133, SSIM 0.0071
90 152.1005  MSE 21444.4551, SSIM 0.0073
100 151.7837  MSE 21231.7471, SSIM 0.0285
110 151.5038  MSE 21944.8857, SSIM 0.0101
120 151.2810  MSE 21703.7119, SSIM 0.0004
130 151.1131  MSE 22548.2725, SSIM 0.0049
140 150.9640  MSE 22610.4521, SSIM 0.0022
150 150.8270  MSE 22156.5410, SSIM -0.0007
160 150.7007  MSE 22032.5645, SSIM 0.0131
170 150.5759  MSE 21614.7441, SSIM 0.0033
180 150.4786  MSE 21912.3076, SSIM 0.0160
190 150.3214  MSE 21718.1611, SSIM 0.0102
0 2017.3479  MSE 30936.0791, SSIM 0.0021
10 768.2766  MSE 30474.2998, SSIM 0.0094
20 768.2766  MSE 30474.2998, SSIM 0.0094
30 768.2766  MSE 30474.2998, SSIM 0.0094
40 768.2766  MSE 30474.2998, SSIM 0.0094
50 768.2766  MSE 30474.2998, SSIM 0.0094
60 768.2766  MSE 30474.2998, SSIM 0.0094
70 768.2766  MSE 30474.2998, SSIM 0.0094
80 768.2766  MSE 30474.2998, SSIM 0.0094
90 768.2766  MSE 30474.2998, SSIM 0.0094
100 768.2766  MSE 30474.2998, SSIM 0.0094
110 768.2766  MSE 30474.2998, SSIM 0.0094
120 768.2766  MSE 30474.2998, SSIM 0.0094
130 768.2766  MSE 30474.2998, SSIM 0.0094
140 768.2766  MSE 30474.2998, SSIM 0.0094
150 768.2766  MSE 30474.2998, SSIM 0.0094
160 768.2766  MSE 30474.2998, SSIM 0.0094
170 768.2766  MSE 30474.2998, SSIM 0.0094
180 768.2766  MSE 30474.2998, SSIM 0.0094
190 768.2766  MSE 30474.2998, SSIM 0.0094
0 270.9386  MSE 29991.9355, SSIM 0.0164
10 937.6291  MSE 29305.8174, SSIM 0.0136
20 937.6291  MSE 29305.8174, SSIM 0.0136
30 937.6291  MSE 29305.8174, SSIM 0.0136
40 937.6291  MSE 29305.8174, SSIM 0.0136
50 937.6291  MSE 29305.8174, SSIM 0.0136
60 937.6291  MSE 29305.8174, SSIM 0.0136
70 937.6291  MSE 29305.8174, SSIM 0.0136
80 937.6291  MSE 29305.8174, SSIM 0.0136
90 937.6291  MSE 29305.8174, SSIM 0.0136
100 937.6291  MSE 29305.8174, SSIM 0.0136
110 937.6291  MSE 29305.8174, SSIM 0.0136
120 937.6291  MSE 29305.8174, SSIM 0.0136
130 937.6291  MSE 29305.8174, SSIM 0.0136
140 937.6291  MSE 29305.8174, SSIM 0.0136
150 937.6291  MSE 29305.8174, SSIM 0.0136
160 937.6291  MSE 29305.8174, SSIM 0.0136
170 937.6291  MSE 29305.8174, SSIM 0.0136
180 937.6291  MSE 29305.8174, SSIM 0.0136
190 937.6291  MSE 29305.8174, SSIM 0.0136
