2.8264  MSE 26360.6113, SSIM 0.0101
160 0.8962  MSE 30907.4463, SSIM -0.0082
170 0.8408  MSE 28958.0098, SSIM 0.0125
180 0.7884  MSE 30576.6963, SSIM -0.0025
190 0.7562  MSE 31723.3105, SSIM 0.0033
0 190.4672  MSE 29916.4756, SSIM 0.0108
10 155.6156  MSE 30210.5264, SSIM 0.0109
20 152.7818  MSE 30429.7441, SSIM 0.0015
30 151.8120  MSE 31446.6475, SSIM -0.0092
40 151.2797  MSE 30584.7373, SSIM 0.0014
50 150.9073  MSE 30147.1553, SSIM 0.0139
60 150.5905  MSE 30277.3750, SSIM 0.0241
70 150.3834  MSE 30863.7803, SSIM 0.0022
80 150.1546  MSE 31026.3613, SSIM 0.0136
90 149.9254  MSE 30920.0527, SSIM 0.0004
100 149.7237  MSE 30994.7871, SSIM 0.0173
110 149.5681  MSE 30478.9326, SSIM -0.0018
120 149.4115  MSE 30574.9902, SSIM 0.0033
130 149.2331  MSE 29957.1729, SSIM 0.0121
140 149.0332  MSE 30090.5234, SSIM 0.0094
150 148.8613  MSE 30454.9980, SSIM 0.0108
160 148.7112  MSE 30707.4033, SSIM 0.0120
170 148.6018  MSE 30627.3857, SSIM -0.0117
180 148.4712  MSE 30637.3994, SSIM 0.0020
190 148.3672  MSE 29688.8750, SSIM -0.0026
0 1.6266  MSE 30659.3574, SSIM 0.0266
10 0.6090  MSE 30277.9502, SSIM 0.0183
20 569.2086  MSE 31467.6787, SSIM 0.0032
30 569.2086  MSE 31467.6787, SSIM 0.0032
40 569.2086  MSE 31467.6787, SSIM 0.0032
50 569.2086  MSE 31467.6787, SSIM 0.0032
60 569.2086  MSE 31467.6787, SSIM 0.0032
70 569.2086  MSE 31467.6787, SSIM 0.0032
80 569.2086  MSE 31467.6787, SSIM 0.0032
90 569.2086  MSE 31467.6787, SSIM 0.0032
100 569.2086  MSE 31467.6787, SSIM 0.0032
110 569.2086  MSE 31467.6787, SSIM 0.0032
120 569.2086  MSE 31467.6787, SSIM 0.0032
130 569.2086  MSE 31467.6787, SSIM 0.0032
140 569.2086  MSE 31467.6787, SSIM 0.0032
150 569.2086  MSE 31467.6787, SSIM 0.0032
160 569.2086  MSE 31467.6787, SSIM 0.0032
170 569.2086  MSE 31467.6787, SSIM 0.0032
180 569.2086  MSE 31467.6787, SSIM 0.0032
190 569.2086  MSE 31467.6787, SSIM 0.0032
0 165.6910  MSE 31108.9746, SSIM 0.0043
10 152.5502  MSE 31569.7314, SSIM 0.0000
20 151.5053  MSE 30009.2383, SSIM 0.0102
30 151.2547  MSE 31185.5068, SSIM -0.0107
40 151.1770  MSE 30343.0342, SSIM 0.0203
50 151.1232  MSE 31336.2090, SSIM -0.0093
60 151.0756  MSE 30457.2217, SSIM 0.0306
70 151.0384  MSE 31134.1777, SSIM 0.0034
80 150.9861  MSE 31233.2422, SSIM -0.0141
90 150.9296  MSE 31727.5889, SSIM -0.0213
100 150.8747  MSE 30579.0801, SSIM 0.0040
110 150.8303  MSE 30382.8623, SSIM 0.0189
120 150.7893  MSE 31697.8984, SSIM -0.0126
130 150.7361  MSE 29390.6377, SSIM 0.0227
140 150.7011  MSE 30510.7031, SSIM 0.0278
150 150.6633  MSE 30210.4258, SSIM 0.0276
160 150.6224  MSE 31146.2383, SSIM -0.0029
170 150.5825  MSE 31272.9805, SSIM -0.0047
180 150.5439  MSE 31369.8613, SSIM -0.0030
190 150.4977  MSE 30735.3633, SSIM 0.0154
0 67.7112  MSE 23663.7930, SSIM -0.0050
10 8.9802  MSE 25260.4463, SSIM 0.0033
20 3.7070  MSE 23836.0479, SSIM 0.0064
30 1.4736  MSE 24038.6895, SSIM 0.0121
40 0.5877  MSE 24299.5762, SSIM 0.0002
50 0.2033  MSE 24215.7666, SSIM 0.0137
60 0.0751  MSE 22236.5586, SSIM 0.0471
70 0.0279  MSE 18742.9482, SSIM 0.1066
80 0.0129  MSE 14287.6230, SSIM 0.2064
90 0.0058  MSE 10381.3291, SSIM 0.3506
100 0.0027  MSE 7128.3730, SSIM 0.4911
110 0.0013  MSE 4458.3066, SSIM 0.6385
120 0.0007  MSE 2994.6904, SSIM 0.7428
130 0.0004  MSE 1407.3896, SSIM 0.8401
140 0.0002  MSE 811.7842, SSIM 0.9031
150 0.0001  MSE 536.4111, SSIM 0.9353
160 0.0001  MSE 360.6191, SSIM 0.9579
170 0.0000  MSE 233.4160, SSIM 0.9727
180 0.0000  MSE 121.2705, SSIM 0.9839
190 0.0000  MSE 93.9814, SSIM 0.9891
0 274.2214  MSE 24473.9854, SSIM -0.0032
10 168.8531  MSE 24487.1367, SSIM 0.0042
20 159.8968  MSE 24741.4824, SSIM 0.0050
30 156.6362  MSE 24955.6396, SSIM -0.0033
40 154.6660  MSE 24638.2803, SSIM 0.0119
50 153.3167  MSE 24435.9355, SSIM 0.0352
60 152.5060  MSE 24656.8066, SSIM -0.0033
70 151.0932  MSE 24181.4717, SSIM 0.0160
80 150.3410  MSE 25267.7822, SSIM 0.0031
90 149.8129  MSE 23830.6904, SSIM 0.0177
100 149.2382  MSE 23745.1787, SSIM 0.0353
110 148.7805  MSE 24190.8447, SSIM 0.0021
120 148.3960  MSE 24500.7217, SSIM 0.0104
130 148.1190  MSE 23812.7930, SSIM 0.0198
140 147.8626  MSE 23894.6553, SSIM 0.0148
150 147.6569  MSE 23602.6768, SSIM 0.0412
160 147.4450  MSE 24881.0752, SSIM -0.0090
170 147.2227  MSE 24017.8779, SSIM 0.0194
180 147.0521  MSE 24473.9980, SSIM 0.0031
190 146.8898  MSE 23952.0117, SSIM 0.0081
0 45.3410  MSE 22577.3486, SSIM 0.0119
10 8.4010  MSE 23376.5283, SSIM 0.0117
20 4.4665  MSE 23119.2002, SSIM 0.0119
30 3.0247  MSE 23279.8750, SSIM 0.0237
40 2.0249  MSE 23410.2139, SSIM 0.0020
50 1.6008  MSE 24356.0674, SSIM -0.0017
60 1.1390  MSE 23666.0244, SSIM 0.0233
70 1.0222  MSE 23305.0820, SSIM 0.0240
80 0.9615  MSE 23328.3438, SSIM 0.0265
90 0.9288  MSE 22529.4873, SSIM 0.0375
100 0.9098  MSE 23014.8535, SSIM 0.0331
110 0.8987  MSE 22704.5508, SSIM 0.0187
120 0.8911  MSE 22790.3174, SSIM 0.0232
130 0.8864  MSE 23235.2715, SSIM 0.0151
140 0.8833  MSE 23593.3105, SSIM 0.0090
150 0.8808  MSE 23282.6084, SSIM 0.0131
